Segment Code,Ship Mode Code,Product_ID,Sales,Quantity,Discount,Profit,Category_Id,Date,State_Code
11,S23,1014,2.632,1,0.2,0.8225,F21,02-02-2024,NY
12,S22,1014,5.67,3,0,0.1134,F21,02-02-2024,NY
13,S22,1014,7.216,2,0.2,1.7138,F21,02-02-2024,NY
12,S21,1014,7.86,2,0,3.6156,F21,02-02-2024,NY
13,S22,1014,5.68,2,0.2,1.917,F21,03-03-2024,NY
12,S22,1014,39.312,13,0.2,12.7764,F21,03-03-2024,NY
11,S22,1014,12.67,7,0,4.5612,F21,03-03-2024,NY
13,S22,1014,18.936,3,0.2,5.9175,F21,03-03-2024,NY
11,S23,1014,8.376,3,0.2,2.7222,F21,03-03-2024,NY
13,S21,1014,7.9,2,0,2.528,F21,03-03-2024,NY
12,S23,1014,9.42,2,0,0.471,F21,03-03-2024,NY
12,S21,1014,6.03,3,0,2.9547,F21,03-03-2024,NY
12,S22,1014,11.22,3,0,0.2244,F21,03-03-2024,NY
11,S20,1014,15.8,5,0.2,2.37,F21,03-03-2024,NY
11,S22,1014,6.08,1,0,3.04,F21,03-03-2024,NY
12,S22,1014,45.92,4,0,21.5824,F21,03-03-2024,NY
12,S22,1014,5.04,3,0,0.2016,F21,03-03-2024,NY
12,S20,1014,12.032,8,0.2,2.256,F21,03-03-2024,NY
13,S22,1014,23.34,3,0,0.2334,F21,03-03-2024,NY
11,S21,1014,4.672,2,0.2,1.46,F21,03-03-2024,NY
11,S22,1014,24.85,7,0,11.6795,F21,03-03-2024,NY
11,S22,1014,6.54,3,0,2.6814,F21,03-03-2024,NY
11,S22,1014,18.24,3,0,9.12,F21,03-03-2024,NY
12,S23,1014,11.68,4,0,5.256,F21,03-03-2024,NY
13,S22,1014,18.936,3,0.2,5.9175,F21,03-03-2024,NY
12,S20,1014,1.81,1,0,0.6516,F21,03-03-2024,NY
13,S22,1014,4.02,2,0,1.9698,F21,03-03-2024,NY
12,S22,1014,11.62,2,0,3.6022,F21,04-04-2024,NY
12,S21,1014,3.96,2,0,0.0792,F21,04-04-2024,NY
12,S22,1014,55.104,6,0.2,18.5976,F21,04-04-2024,NY
12,S22,1014,15.8,4,0,5.056,F21,04-04-2024,NY
13,S22,1014,23.55,5,0,1.1775,F21,04-04-2024,NY
12,S20,1014,11.85,3,0,3.792,F21,04-04-2024,NY
11,S23,1014,1.984,2,0.2,0.6696,F21,04-04-2024,NY
12,S23,1014,6.912,3,0.2,2.3328,F21,04-04-2024,NY
13,S22,1014,29.05,5,0,9.0055,F21,04-04-2024,NY
11,S22,1014,2.368,2,0.2,0.8288,F21,04-04-2024,NY
11,S22,1014,3.552,3,0.2,1.2432,F21,04-04-2024,NY
12,S22,1014,2.368,2,0.2,0.8288,F21,04-04-2024,NY
13,S22,1014,8.94,3,0,4.1124,F21,04-04-2024,NY
11,S22,1014,7.52,5,0.2,1.41,F21,04-04-2024,NY
11,S23,1014,5.04,4,0,0.2016,F21,04-04-2024,NY
12,S22,1014,45,9,0,21.6,F21,04-04-2024,NY
12,S22,1014,25.06,7,0,12.53,F21,04-04-2024,NY
12,S22,1014,45.92,4,0,21.5824,F21,04-04-2024,NY
12,S23,1014,7.41,3,0,3.4827,F21,04-04-2024,NY
12,S23,1014,10.528,4,0.2,3.29,F21,04-04-2024,NY
12,S22,1014,30.4,5,0,15.2,F21,04-04-2024,NY
12,S23,1014,20,4,0,9.6,F21,04-04-2024,NY
12,S22,1014,15.26,7,0,5.0358,F21,04-04-2024,NY
11,S22,1014,21.312,6,0.2,7.1928,F21,04-04-2024,NY
11,S23,1014,9.432,3,0.2,3.0654,F21,04-04-2024,NY
12,S21,1014,31.56,4,0,14.202,F21,04-04-2024,NY
13,S23,1014,5.58,3,0,0.1674,F21,04-04-2024,NY
13,S22,1014,11.52,4,0,5.4144,F21,04-04-2024,NY
13,S22,1014,28.44,9,0.2,4.266,F21,04-04-2024,NY
12,S23,1014,2.88,1,0,1.3536,F21,04-04-2024,NY
12,S23,1014,29.61,9,0,13.3245,F21,04-04-2024,NY
11,S22,1014,10.584,7,0.2,-2.3814,F21,04-04-2024,NY
12,S20,1014,7.9,2,0,2.528,F21,04-04-2024,NY
12,S21,1014,14.96,4,0,0.2992,F21,04-04-2024,NY
12,S22,1014,1.824,2,0.2,0.6156,F21,04-04-2024,NY
13,S23,1014,3.62,2,0,1.1946,F21,04-04-2024,NY
12,S22,1014,4.512,3,0.2,0.846,F21,04-04-2024,NY
12,S21,1014,4.36,2,0,1.7876,F21,04-04-2024,NY
12,S22,1014,18.864,9,0.2,6.1308,F21,04-04-2024,NY
11,S22,1014,7.24,5,0.2,1.1765,F21,04-04-2024,NY
12,S22,1014,3.024,3,0.2,-0.6048,F21,04-04-2024,NY
12,S22,1014,34.44,3,0,16.1868,F21,04-04-2024,NY
13,S22,1014,17.05,5,0,8.184,F21,04-04-2024,NY
12,S22,1014,2.304,1,0.2,0.7776,F21,04-04-2024,NY
12,S22,1014,1.24,1,0,0.5828,F21,04-04-2024,NY
11,S22,1014,12.576,4,0.2,4.0872,F21,04-04-2024,NY
11,S23,1014,15.808,8,0.2,5.3352,F21,04-04-2024,NY
12,S22,1014,10.65,3,0,5.0055,F21,04-04-2024,NY
12,S22,1014,19.6,5,0,9.604,F21,04-04-2024,NY
13,S22,1014,1.81,1,0,0.6516,F21,04-04-2024,NY
12,S21,1014,10.9,5,0,3.597,F21,04-04-2024,NY
13,S22,1014,20.44,7,0,9.198,F21,04-04-2024,NY
12,S20,1014,14.32,5,0.2,5.191,F21,04-04-2024,NY
11,S21,1014,8.72,5,0.2,2.289,F21,04-04-2024,NY
12,S21,1014,35,7,0,16.8,F21,05-05-2024,NY
11,S22,1014,8.4,5,0,0.336,F21,05-05-2024,NY
12,S22,1014,3.488,2,0.2,0.5668,F21,05-05-2024,NY
12,S22,1014,4.36,2,0,1.7876,F21,05-05-2024,NY
12,S22,1014,16.752,6,0.2,5.4444,F21,05-05-2024,NY
13,S22,1014,3.76,2,0,1.316,F21,05-05-2024,NY
12,S23,1014,25.248,4,0.2,7.89,F21,05-05-2024,NY
12,S23,1014,18.24,3,0,9.12,F21,05-05-2024,NY
13,S22,1014,49.792,8,0.2,-11.8256,F21,05-05-2024,NY
12,S22,1014,21.48,6,0,10.5252,F21,05-05-2024,NY
12,S22,1014,5.984,2,0.2,-1.3464,F21,05-05-2024,NY
12,S22,1014,7.104,6,0.2,2.4864,F21,05-05-2024,NY
12,S22,1014,5.94,3,0,0,F21,05-05-2024,NY
11,S21,1014,45.92,5,0.2,15.498,F21,05-05-2024,NY
12,S22,1014,5.43,3,0,1.7919,F21,05-05-2024,NY
13,S22,1014,30,6,0,14.4,F21,05-05-2024,NY
12,S23,1014,14.82,6,0,6.9654,F21,05-05-2024,NY
12,S22,1014,10.47,3,0,4.8162,F21,05-05-2024,NY
12,S22,1014,17.9,5,0,8.95,F21,05-05-2024,NY
11,S22,1014,11.34,3,0,5.2164,F21,05-05-2024,NY
12,S22,1014,10.9,5,0,3.597,F21,05-05-2024,NY
11,S22,1014,16,4,0.2,5.6,F21,05-05-2024,NY
13,S22,1014,2.48,2,0,1.1656,F21,05-05-2024,NY
11,S21,1014,5.92,4,0,2.8416,F21,05-05-2024,NY
13,S23,1014,16,4,0.2,5.6,F21,05-05-2024,NY
12,S21,1014,5.472,6,0.2,1.8468,F21,05-05-2024,NY
11,S23,1014,14.13,3,0,0.7065,F21,05-05-2024,NY
11,S22,1014,12.672,8,0.2,2.6928,F21,05-05-2024,NY
12,S23,1014,7.89,1,0,3.5505,F21,05-05-2024,NY
12,S22,1014,4.464,3,0.2,-0.9486,F21,05-05-2024,NY
13,S22,1014,31.12,4,0,0.3112,F21,05-05-2024,NY
12,S22,1014,4.96,4,0,2.3312,F21,05-05-2024,NY
12,S22,1014,15,3,0,7.2,F21,05-05-2024,NY
12,S21,1014,5.81,1,0,1.8011,F21,05-05-2024,NY
13,S22,1014,17.28,6,0,8.1216,F21,05-05-2024,NY
13,S23,1014,7.56,6,0,0.3024,F21,05-05-2024,NY
13,S22,1014,7.86,3,0,3.6156,F21,05-05-2024,NY
12,S21,1014,7.896,3,0.2,2.4675,F21,05-05-2024,NY
12,S22,1014,11.84,8,0,5.6832,F21,05-05-2024,NY
12,S22,1014,24.32,5,0.2,9.12,F21,05-05-2024,NY
12,S22,1014,18.84,5,0.2,-3.5325,F21,05-05-2024,NY
11,S22,1014,14.9,5,0,6.854,F21,05-05-2024,NY
11,S23,1014,15.12,5,0.2,4.914,F21,05-05-2024,NY
12,S22,1014,93.36,12,0,0.9336,F21,05-05-2024,NY
12,S20,1014,3.29,1,0,1.4805,F21,05-05-2024,NY
12,S22,1014,4.344,3,0.2,0.8688,F21,05-05-2024,NY
12,S22,1014,15.072,4,0.2,-3.768,F21,05-05-2024,NY
13,S22,1014,3.488,2,0.2,0.5668,F21,05-05-2024,NY
11,S22,1014,8,2,0.2,2.8,F21,05-05-2024,NY
13,S21,1014,17.184,6,0.2,6.2292,F21,05-05-2024,NY
12,S22,1014,17.9,5,0,8.771,F21,05-05-2024,NY
11,S23,1014,6.048,4,0.2,-1.3608,F21,05-05-2024,NY
12,S22,1014,5.94,3,0,0.1188,F21,05-05-2024,NY
11,S22,1014,14.432,4,0.2,3.4276,F21,05-05-2024,NY
13,S20,1014,5.67,3,0,0.1134,F21,05-05-2024,NY
11,S22,1014,7.24,4,0,2.3892,F21,05-05-2024,NY
11,S22,1014,31.504,11,0.2,11.814,F21,05-05-2024,NY
12,S20,1014,5.7,5,0,2.679,F21,05-05-2024,NY
12,S22,1014,18.368,2,0.2,6.1992,F21,05-05-2024,NY
11,S20,1014,17.9,5,0,8.95,F21,05-05-2024,NY
13,S22,1014,4.71,1,0,0,F21,05-05-2024,NY
11,S21,1014,22.55,5,0,8.7945,F21,05-05-2024,NY
12,S22,1014,4.824,3,0.2,1.7487,F21,05-05-2024,NY
11,S22,1014,36.48,6,0,18.24,F21,05-05-2024,NY
12,S23,1014,14.2,4,0,6.674,F21,05-05-2024,NY
11,S22,1014,17.9,5,0,8.771,F21,05-05-2024,NY
13,S22,1014,13.02,7,0,0.3906,F21,05-05-2024,NY
11,S21,1014,8.04,5,0.2,2.9145,F21,05-05-2024,NY
11,S22,1014,7.92,5,0.2,1.683,F21,05-05-2024,NY
12,S22,1014,13.16,5,0.2,4.1125,F21,05-05-2024,NY
11,S21,1014,6.54,3,0,2.1582,F21,05-05-2024,NY
12,S22,1014,40.67,7,0,12.6077,F21,05-05-2024,NY
12,S22,1014,3.008,2,0.2,0.564,F21,05-05-2024,NY
13,S22,1014,9.648,6,0.2,3.4974,F21,05-05-2024,NY
12,S22,1014,11.68,4,0,5.256,F21,05-05-2024,NY
12,S22,1014,3.62,2,0,1.1946,F21,05-05-2024,NY
13,S22,1014,2.52,2,0,0.1008,F21,05-05-2024,NY
12,S22,1014,5.94,3,0,0,F21,05-05-2024,NY
13,S22,1014,13.86,7,0,0,F21,05-05-2024,NY
12,S22,1007,7.28,4,0,1.9656,A11,05-05-2024,MI
12,S23,1007,8.56,2,0,2.4824,A11,05-05-2024,MI
11,S22,1007,19.46,7,0,5.0596,A11,05-05-2024,MI
12,S22,1007,86.304,6,0.2,9.7092,A11,05-05-2024,MI
12,S22,1007,15.76,2,0.2,3.546,A11,05-05-2024,MI
12,S21,1007,1.68,1,0,0.84,A11,06-06-2024,MI
11,S22,1007,1113.024,8,0.2,111.3024,A11,06-06-2024,MI
12,S22,1007,14.9,5,0,4.172,A11,06-06-2024,MI
11,S22,1007,20.1,3,0,6.633,A11,06-06-2024,MI
12,S22,1007,3.304,1,0.2,1.0738,A11,06-06-2024,MI
12,S22,1007,75.96,2,0,22.788,A11,06-06-2024,MI
12,S22,1007,11.52,4,0,3.456,A11,06-06-2024,MI
11,S22,1007,8.82,3,0,2.3814,A11,06-06-2024,MI
13,S22,1007,6.63,3,0,1.7901,A11,06-06-2024,MI
12,S22,1007,9.936,3,0.2,2.7324,A11,06-06-2024,MI
12,S22,1007,32.064,6,0.2,6.8136,A11,06-06-2024,MI
13,S22,1007,3.28,1,0,1.4104,A11,06-06-2024,MI
13,S21,1007,19.9,5,0,6.567,A11,06-06-2024,MI
12,S22,1007,7.408,2,0.2,1.2038,A11,06-06-2024,MI
12,S22,1007,6.048,3,0.2,1.5876,A11,06-06-2024,MI
12,S21,1007,27.168,2,0.2,2.7168,A11,06-06-2024,MI
11,S22,1007,2.2,1,0,0.968,A11,06-06-2024,MI
12,S23,1007,7.408,2,0.2,1.2038,A11,06-06-2024,MI
11,S22,1007,14.016,3,0.2,4.7304,A11,06-06-2024,MI
11,S21,1007,5.98,1,0,1.5548,A11,06-06-2024,MI
11,S22,1007,9.84,3,0,2.8536,A11,06-06-2024,MI
13,S22,1007,289.2,6,0,83.868,A11,06-06-2024,MI
12,S21,1007,4.89,1,0,2.0049,A11,06-06-2024,MI
11,S21,1007,99.136,4,0.2,8.6744,A11,06-06-2024,MI
11,S23,1007,17.856,4,0.2,1.116,A11,06-06-2024,MI
12,S22,1007,7.56,3,0,3.0996,A11,06-06-2024,MI
12,S22,1007,12.96,2,0,4.1472,A11,06-06-2024,MI
12,S22,1007,17.04,4,0,6.9864,A11,06-06-2024,MI
12,S22,1007,5.56,2,0,1.4456,A11,06-06-2024,MI
12,S22,1007,9.24,1,0.2,0.924,A11,06-06-2024,MI
12,S21,1007,2.624,1,0.2,0.4264,A11,06-06-2024,MI
11,S22,1007,39.072,6,0.2,9.768,A11,06-06-2024,MI
12,S22,1007,95.92,8,0,25.8984,A11,06-06-2024,MI
11,S22,1007,9.32,4,0,2.7028,A11,06-06-2024,MI
11,S22,1007,6.672,6,0.2,0.5004,A11,06-06-2024,MI
12,S23,1007,59.52,3,0,15.4752,A11,06-06-2024,MI
12,S23,1007,263.88,6,0,71.2476,A11,06-06-2024,MI
12,S23,1007,30.48,3,0,7.9248,A11,06-06-2024,MI
12,S23,1007,9.84,3,0,2.8536,A11,06-06-2024,MI
11,S22,1007,14.7,5,0,6.615,A11,06-06-2024,MI
12,S22,1007,5.96,2,0,1.6688,A11,06-06-2024,MI
13,S23,1007,70.368,2,0.2,6.1572,A11,06-06-2024,MI
12,S22,1007,2.74,1,0,0.7398,A11,06-06-2024,MI
12,S22,1007,8.34,3,0,2.1684,A11,06-06-2024,MI
12,S21,1007,7.152,3,0.2,0.7152,A11,06-06-2024,MI
12,S22,1007,6.63,3,0,1.7901,A11,06-06-2024,MI
12,S22,1007,5.88,2,0,1.7052,A11,06-06-2024,MI
12,S23,1007,19.456,4,0.2,3.4048,A11,06-06-2024,MI
12,S22,1007,8.82,3,0,2.3814,A11,06-06-2024,MI
12,S22,1007,9.344,2,0.2,1.168,A11,06-06-2024,MI
12,S22,1007,21.168,9,0.2,2.3814,A11,06-06-2024,MI
11,S22,1007,161.82,9,0,46.9278,A11,06-06-2024,MI
12,S22,1007,19.56,5,0.2,1.7115,A11,06-06-2024,MI
13,S21,1007,198.272,8,0.2,17.3488,A11,06-06-2024,MI
13,S21,1007,2.696,1,0.2,0.8088,A11,06-06-2024,MI
12,S22,1007,56.98,7,0,22.792,A11,06-06-2024,MI
11,S22,1007,40.3,2,0,10.881,A11,06-06-2024,MI
12,S22,1007,32.76,7,0.2,3.6855,A11,06-06-2024,MI
12,S22,1007,43.176,3,0.2,4.3176,A11,06-06-2024,MI
12,S21,1007,11.52,4,0,3.2256,A11,06-06-2024,MI
11,S22,1007,35.216,2,0.2,2.6412,A11,06-06-2024,MI
11,S22,1007,60.45,3,0,16.3215,A11,06-06-2024,MI
11,S22,1007,11.52,4,0,3.3408,A11,06-06-2024,MI
11,S23,1007,5.16,2,0,1.3416,A11,06-06-2024,MI
12,S22,1007,185.88,6,0,50.1876,A11,06-06-2024,MI
12,S22,1007,23.1,2,0,10.626,A11,06-06-2024,MI
11,S23,1007,5.248,2,0.2,0.5904,A11,06-06-2024,MI
12,S20,1007,13.48,4,0,5.9312,A11,06-06-2024,MI
13,S21,1007,15.92,4,0,5.4128,A11,06-06-2024,MI
13,S22,1007,46.2,4,0,12.936,A11,06-06-2024,MI
12,S21,1007,14.592,3,0.2,2.5536,A11,06-06-2024,MI
12,S21,1007,89.856,3,0.2,21.3408,A11,06-06-2024,MI
12,S22,1007,27.168,2,0.2,2.7168,A11,06-06-2024,MI
13,S21,1007,35.97,3,0,9.7119,A11,06-06-2024,MI
12,S23,1007,3.392,1,0.2,0.8056,A11,06-06-2024,MI
11,S22,1007,17.97,3,0,5.2113,A11,06-06-2024,MI
13,S22,1007,44.02,2,0,11.4452,A11,06-06-2024,MI
12,S22,1007,22.74,3,0,8.8686,A11,06-06-2024,MI
12,S21,1007,23.968,7,0.2,2.6964,A11,06-06-2024,MI
12,S21,1007,28.728,3,0.2,1.7955,A11,06-06-2024,MI
11,S21,1007,8.84,5,0.2,2.9835,A11,06-06-2024,MI
13,S22,1007,11.16,2,0,4.3524,A11,06-06-2024,MI
11,S22,1007,7.872,3,0.2,1.2792,A11,06-06-2024,MI
13,S22,1007,19.46,7,0,5.0596,A11,06-06-2024,MI
13,S21,1007,40.88,7,0,10.6288,A11,06-06-2024,MI
12,S22,1007,120.15,9,0,33.642,A11,06-06-2024,MI
13,S21,1007,7.04,4,0,2.0416,A11,06-06-2024,MI
13,S21,1007,8.64,3,0,2.5056,A11,06-06-2024,MI
12,S22,1007,22.96,7,0,6.6584,A11,06-06-2024,MI
12,S22,1007,6.63,3,0,1.7901,A11,06-06-2024,MI
13,S22,1007,10.16,1,0,2.6416,A11,06-06-2024,MI
11,S23,1007,20.58,7,0,5.5566,A11,06-06-2024,MI
11,S22,1007,3.64,2,0,1.638,A11,06-06-2024,MI
12,S23,1007,53.94,3,0,15.6426,A11,06-06-2024,MI
12,S22,1007,3.76,2,0,1.0904,A11,06-06-2024,MI
11,S23,1007,41.86,7,0,10.465,A11,06-06-2024,MI
11,S22,1007,4.672,1,0.2,1.5768,A11,06-06-2024,MI
12,S22,1007,5.68,2,0,1.7608,A11,06-06-2024,MI
12,S23,1007,2.78,2,0,0.7228,A11,06-06-2024,MI
12,S22,1007,40.97,1,0,10.6522,A11,06-06-2024,MI
12,S22,1007,38.82,6,0,17.469,A11,06-06-2024,MI
12,S22,1007,3.2,2,0,1.376,A11,06-06-2024,MI
13,S22,1007,5.248,2,0.2,0.5904,A11,06-06-2024,MI
12,S22,1007,6.57,3,0,1.7739,A11,06-06-2024,MI
12,S22,1007,86.352,3,0.2,5.397,A11,06-06-2024,MI
13,S22,1007,15.48,3,0,4.4892,A11,06-06-2024,MI
11,S22,1007,20.82,3,0,7.4952,A11,06-06-2024,MI
13,S23,1007,87.92,4,0,26.376,A11,06-06-2024,MI
12,S22,1007,47.82,3,0,14.346,A11,06-06-2024,MI
12,S22,1007,19.68,6,0,5.7072,A11,06-06-2024,MI
11,S22,1007,123.256,7,0.2,9.2442,A11,06-06-2024,MI
12,S22,1007,14.04,3,0.2,1.5795,A11,06-06-2024,MI
12,S23,1007,16.4,5,0,4.264,A11,06-06-2024,MI
11,S21,1007,9.552,3,0.2,1.5522,A11,06-06-2024,MI
12,S22,1007,75.48,2,0,19.6248,A11,06-06-2024,MI
12,S22,1007,5.248,2,0.2,0.5904,A11,06-06-2024,MI
11,S23,1007,6.848,2,0.2,0.5992,A11,06-06-2024,MI
13,S22,1007,17.28,6,0,5.0112,A11,06-06-2024,MI
12,S23,1007,9.728,2,0.2,1.7024,A11,06-06-2024,MI
12,S23,1007,40.05,3,0,11.214,A11,06-06-2024,MI
12,S22,1007,10.192,7,0.2,3.185,A11,06-06-2024,MI
12,S22,1007,13.12,5,0.2,3.772,A11,06-06-2024,MI
13,S22,1007,6.72,4,0,3.36,A11,06-06-2024,MI
11,S22,1007,385.6,8,0,111.824,A11,06-06-2024,MI
11,S22,1007,35.82,9,0,11.8206,A11,06-06-2024,MI
13,S22,1007,16.52,5,0.2,2.065,A11,06-06-2024,MI
12,S22,1007,86.304,6,0.2,9.7092,A11,06-06-2024,MI
12,S22,1007,4.16,2,0.2,0.364,A11,06-06-2024,MI
12,S23,1007,16.28,2,0,6.512,A11,06-06-2024,MI
11,S22,1007,5.28,3,0,1.5312,A11,06-06-2024,MI
12,S22,1007,79.36,5,0.2,9.92,A11,06-06-2024,MI
13,S21,1007,2.78,1,0,0.7228,A11,06-06-2024,MI
11,S22,1007,12.84,3,0,3.7236,A11,06-06-2024,MI
11,S22,1007,10.96,4,0,2.9592,A11,06-06-2024,MI
11,S22,1007,33.488,7,0.2,5.8604,A11,06-06-2024,MI
12,S23,1007,99.136,4,0.2,8.6744,A11,06-06-2024,MI
12,S22,1007,6.672,3,0.2,1.668,A11,06-06-2024,MI
12,S22,1007,155.94,6,0,45.2226,A11,06-06-2024,MI
12,S23,1007,5.46,3,0,1.5288,A11,06-06-2024,MI
12,S23,1007,73.2,5,0,21.228,A11,06-06-2024,MI
13,S22,1007,29.79,3,0,12.5118,A11,06-06-2024,MI
12,S23,1007,14.04,3,0.2,1.5795,A11,06-06-2024,MI
12,S22,1007,19.9,5,0,6.567,A11,06-06-2024,MI
12,S22,1007,154.24,4,0.2,17.352,A11,06-06-2024,MI
12,S23,1007,4.368,3,0.2,0.3822,A11,06-06-2024,MI
12,S21,1007,13.36,2,0,4.9432,A11,06-06-2024,MI
13,S22,1007,6.24,3,0.2,0.546,A11,06-06-2024,MI
12,S22,1007,19.536,3,0.2,4.884,A11,06-06-2024,MI
11,S22,1007,5.34,2,0,1.4952,A11,06-06-2024,MI
12,S22,1007,14.7,5,0,6.615,A11,06-06-2024,MI
12,S21,1007,46.64,4,0,12.5928,A11,06-06-2024,MI
13,S22,1007,107.94,3,0,26.985,A11,06-06-2024,MI
12,S20,1007,9.26,2,0,3.0558,A11,06-06-2024,MI
12,S21,1007,21.4,5,0,6.206,A11,06-06-2024,MI
11,S22,1007,14.52,3,0,4.7916,A11,06-06-2024,MI
11,S22,1007,99.2,5,0,25.792,A11,06-06-2024,MI
11,S22,1007,3.38,1,0,1.2506,A11,06-06-2024,MI
12,S21,1007,34.65,3,0,10.395,A11,06-06-2024,MI
13,S22,1007,15.528,3,0.2,4.8525,A11,06-06-2024,MI
12,S22,1007,11.65,5,0,3.3785,A11,06-06-2024,MI
11,S23,1007,47.616,3,0.2,3.5712,A11,06-06-2024,MI
11,S22,1007,23.1,2,0,6.468,A11,06-06-2024,MI
11,S22,1007,4.92,3,0,2.214,A11,06-06-2024,MI
13,S22,1007,6.408,3,0.2,0.6408,A11,06-06-2024,MI
12,S22,1007,5.248,2,0.2,0.5904,A11,06-06-2024,MI
13,S22,1007,5.344,2,0.2,0.7348,A11,06-06-2024,MI
12,S22,1007,41.86,7,0,14.2324,A11,06-06-2024,MI
11,S22,1007,29.68,7,0,11.5752,A11,06-06-2024,MI
12,S22,1007,4.224,3,0.2,0.4752,A11,06-06-2024,MI
11,S22,1007,9.328,1,0.2,0.8162,A11,06-06-2024,MI
11,S22,1007,38.864,7,0.2,7.7728,A11,06-06-2024,MI
12,S21,1007,11.12,5,0.2,0.834,A11,06-06-2024,MI
11,S22,1007,12.39,3,0,3.717,A11,06-06-2024,MI
12,S22,1007,13.12,5,0.2,1.476,A11,06-06-2024,MI
13,S22,1007,91.96,4,0,25.7488,A11,06-06-2024,MI
13,S22,1007,8.34,3,0,2.1684,A11,06-06-2024,MI
12,S22,1007,83.168,4,0.2,9.3564,A11,06-06-2024,MI
12,S20,1007,5.04,3,0,1.26,A11,06-06-2024,MI
11,S23,1007,38.52,9,0,11.9412,A11,06-06-2024,MI
13,S22,1007,17.856,4,0.2,2.0088,A11,06-06-2024,MI
13,S22,1007,34.58,1,0,10.0282,A11,06-06-2024,MI
